image_name,tags
test_0,clear primary
test_1,clear primary
test_2,partly_cloudy primary
test_3,clear primary
test_4,primary
test_5,clear primary
test_6,clear agriculture primary road
test_7,clear habitation primary road
test_8,clear primary
test_9,agriculture primary
test_10,partly_cloudy primary
test_11,water clear cultivation agriculture primary
test_12,cloudy
test_13,clear agriculture primary
test_14,clear primary
test_15,clear primary
test_16,clear agriculture habitation primary road
test_17,partly_cloudy primary
test_18,clear primary road
test_19,water clear primary
test_20,water clear primary
test_21,primary
test_22,clear agriculture primary road
test_23,cloudy
test_24,agriculture partly_cloudy primary
test_25,clear primary
test_26,agriculture partly_cloudy primary road
test_27,clear agriculture primary
test_28,clear agriculture primary
test_29,clear primary
test_30,partly_cloudy primary
test_31,cloudy
test_32,clear primary
test_33,clear agriculture primary road
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary
test_40,water clear primary road
test_41,partly_cloudy primary
test_42,clear primary
test_43,clear primary
test_44,clear primary
test_45,agriculture primary haze
test_46,water primary haze
test_47,clear primary
test_48,clear primary
test_49,agriculture primary
test_50,clear primary
test_51,water clear primary
test_52,clear agriculture primary road
test_53,clear agriculture habitation primary road
test_54,clear primary
test_55,partly_cloudy primary
test_56,clear primary
test_57,water clear primary
test_58,clear primary
test_59,clear agriculture primary road
test_60,clear primary
test_61,cloudy
test_62,agriculture primary road
test_63,clear primary
test_64,clear primary
test_65,clear primary
test_66,clear primary
test_67,clear agriculture habitation primary road
test_68,cloudy
test_69,clear primary
test_70,clear primary
test_71,partly_cloudy primary
test_72,clear primary
test_73,clear agriculture primary
test_74,partly_cloudy primary
test_75,agriculture partly_cloudy primary road
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,clear agriculture primary
test_80,primary
test_81,cloudy
test_82,clear agriculture primary
test_83,clear primary
test_84,clear agriculture primary road
test_85,clear agriculture primary
test_86,clear primary
test_87,partly_cloudy primary
test_88,clear cultivation agriculture primary
test_89,cloudy
test_90,cloudy
test_91,clear agriculture primary
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,agriculture partly_cloudy primary
test_96,primary
test_97,clear primary
test_98,partly_cloudy primary
test_99,cloudy
test_100,partly_cloudy primary
test_101,clear agriculture primary road
test_102,clear primary
test_103,clear primary
test_104,partly_cloudy primary
test_105,clear primary
test_106,primary haze
test_107,clear primary
test_108,agriculture partly_cloudy primary
test_109,agriculture partly_cloudy primary
test_110,primary
test_111,partly_cloudy primary
test_112,partly_cloudy primary
test_113,clear primary
test_114,water clear agriculture primary
test_115,clear primary
test_116,partly_cloudy primary
test_117,partly_cloudy primary
test_118,clear habitation road
test_119,clear primary
test_120,clear primary
test_121,clear primary
test_122,clear primary
test_123,partly_cloudy primary
test_124,clear primary
test_125,partly_cloudy primary
test_126,clear agriculture primary
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,water clear primary
test_133,clear agriculture primary
test_134,clear agriculture primary road
test_135,clear agriculture primary road
test_136,clear primary
test_137,clear agriculture primary
test_138,partly_cloudy primary
test_139,clear primary
test_140,clear agriculture primary
test_141,clear primary
test_142,clear primary
test_143,clear agriculture primary road
test_144,clear agriculture primary
test_145,clear agriculture primary
test_146,clear agriculture primary
test_147,water clear primary
test_148,partly_cloudy primary
test_149,partly_cloudy primary
test_150,clear agriculture habitation primary
test_151,water clear primary
test_152,water clear primary road
test_153,clear primary
test_154,clear primary
test_155,clear agriculture primary
test_156,partly_cloudy primary
test_157,partly_cloudy primary
test_158,clear primary
test_159,partly_cloudy primary
test_160,primary haze
test_161,clear primary
test_162,clear primary
test_163,clear primary
test_164,primary haze
test_165,agriculture primary road
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,partly_cloudy primary
test_170,partly_cloudy primary
test_171,cloudy
test_172,cloudy
test_173,clear primary
test_174,clear primary road
test_175,clear primary
test_176,partly_cloudy primary
test_177,partly_cloudy primary
test_178,primary
test_179,water clear agriculture primary road
test_180,water clear primary
test_181,clear agriculture primary
test_182,agriculture partly_cloudy primary road
test_183,primary haze
test_184,clear primary
test_185,agriculture partly_cloudy primary road
test_186,clear agriculture habitation primary road
test_187,partly_cloudy primary
test_188,clear primary road
test_189,clear agriculture primary road
test_190,clear agriculture primary road
test_191,clear primary
test_192,clear primary
test_193,clear primary
test_194,clear agriculture habitation primary road
test_195,primary
test_196,clear primary
test_197,clear primary
test_198,agriculture primary road
test_199,clear agriculture habitation primary road
test_200,clear primary
test_201,primary haze
test_202,water clear primary
test_203,cloudy
test_204,clear primary
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,cloudy primary
test_209,clear primary
test_210,clear primary
test_211,clear agriculture primary road
test_212,agriculture partly_cloudy primary
test_213,clear agriculture primary
test_214,clear primary
test_215,clear primary
test_216,clear primary
test_217,clear cultivation agriculture primary
test_218,clear agriculture primary road
test_219,clear cultivation agriculture primary
test_220,cloudy
test_221,primary
test_222,cloudy
test_223,clear primary
test_224,water clear primary
test_225,clear primary
test_226,clear primary
test_227,clear primary
test_228,clear agriculture primary road
test_229,clear agriculture habitation primary road
test_230,agriculture partly_cloudy primary road
test_231,agriculture partly_cloudy primary
test_232,primary haze
test_233,clear primary
test_234,clear primary
test_235,clear primary
test_236,clear primary
test_237,partly_cloudy primary
test_238,agriculture partly_cloudy primary road
test_239,clear agriculture primary
test_240,clear agriculture primary
test_241,cloudy
test_242,water clear primary
test_243,clear agriculture habitation primary road
test_244,clear primary
test_245,clear primary
test_246,clear primary
test_247,clear primary
test_248,clear agriculture habitation primary road
test_249,water clear primary road
test_250,clear agriculture habitation primary road
test_251,clear habitation primary road
test_252,water clear primary
test_253,partly_cloudy primary
test_254,clear primary
test_255,clear primary
test_256,clear primary
test_257,water clear agriculture primary
test_258,clear primary
test_259,clear primary
test_260,clear primary
test_261,clear primary
test_262,clear agriculture primary
test_263,clear primary
test_264,primary haze
test_265,partly_cloudy primary
test_266,agriculture partly_cloudy primary
test_267,clear primary
test_268,clear agriculture primary
test_269,clear agriculture primary road
test_270,clear primary
test_271,clear primary
test_272,clear agriculture habitation primary road
test_273,cloudy primary
test_274,clear agriculture primary road
test_275,primary haze
test_276,clear agriculture primary road
test_277,agriculture primary haze
test_278,clear primary
test_279,partly_cloudy primary
test_280,water partly_cloudy primary
test_281,clear agriculture primary
test_282,clear agriculture primary road
test_283,clear primary
test_284,clear primary
test_285,clear agriculture habitation primary road
test_286,clear primary
test_287,water clear primary
test_288,clear agriculture primary road
test_289,clear agriculture primary road
test_290,clear primary
test_291,clear agriculture primary road
test_292,clear primary
test_293,clear agriculture habitation primary road
test_294,clear primary
test_295,clear agriculture primary road
test_296,partly_cloudy primary
test_297,clear primary
test_298,agriculture partly_cloudy primary
test_299,clear primary
test_300,cloudy
test_301,clear agriculture primary
test_302,clear primary
test_303,partly_cloudy primary
test_304,clear agriculture primary
test_305,agriculture primary haze
test_306,water clear primary
test_307,clear primary
test_308,partly_cloudy primary
test_309,clear primary
test_310,primary haze
test_311,clear primary
test_312,clear primary
test_313,clear agriculture habitation primary road
test_314,cloudy
test_315,partly_cloudy primary
test_316,cloudy
test_317,clear primary
test_318,partly_cloudy primary
test_319,partly_cloudy primary
test_320,clear primary
test_321,clear primary
test_322,clear primary
test_323,clear primary
test_324,clear primary
test_325,clear agriculture primary road
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,clear agriculture habitation primary road
test_330,clear primary
test_331,primary haze
test_332,clear primary
test_333,clear agriculture primary road
test_334,cloudy primary
test_335,partly_cloudy primary
test_336,clear primary
test_337,clear agriculture primary road
test_338,clear agriculture primary
test_339,partly_cloudy primary
test_340,clear primary
test_341,clear primary
test_342,cloudy
test_343,clear agriculture primary road
test_344,clear primary
test_345,partly_cloudy primary
test_346,clear primary
test_347,clear agriculture primary
test_348,agriculture primary haze
test_349,clear agriculture primary road
test_350,clear agriculture primary
test_351,clear primary
test_352,clear primary
test_353,cloudy
test_354,clear primary
test_355,clear primary
test_356,clear agriculture primary
test_357,clear primary
test_358,primary haze
test_359,water clear primary
test_360,clear agriculture primary
test_361,cloudy
test_362,clear agriculture primary road
test_363,agriculture partly_cloudy primary road
test_364,clear agriculture primary
test_365,clear primary
test_366,clear agriculture primary
test_367,primary
test_368,clear primary
test_369,clear agriculture primary road
test_370,clear primary
test_371,clear primary
test_372,clear agriculture primary road
test_373,cloudy
test_374,primary haze
test_375,partly_cloudy primary
test_376,clear primary
test_377,partly_cloudy primary
test_378,partly_cloudy primary
test_379,primary
test_380,clear agriculture primary
test_381,clear primary
test_382,partly_cloudy primary
test_383,water clear primary road
test_384,clear primary
test_385,agriculture partly_cloudy primary
test_386,clear primary
test_387,clear primary
test_388,agriculture primary
test_389,agriculture primary haze
test_390,clear agriculture habitation primary road
test_391,clear primary
test_392,partly_cloudy primary
test_393,clear agriculture primary
test_394,clear primary
test_395,clear agriculture primary road
test_396,clear primary
test_397,clear primary
test_398,clear agriculture primary
test_399,clear agriculture primary
test_400,clear primary
test_401,clear primary
test_402,cloudy
test_403,clear primary
test_404,clear primary
test_405,water clear primary
test_406,primary haze
test_407,clear primary
test_408,clear primary
test_409,clear primary
test_410,cloudy
test_411,clear agriculture primary road
test_412,clear primary
test_413,clear primary
test_414,cloudy
test_415,clear primary
test_416,clear agriculture habitation primary road
test_417,clear primary road
test_418,clear primary
test_419,partly_cloudy primary
test_420,clear agriculture primary road
test_421,clear primary
test_422,clear primary
test_423,clear primary
test_424,clear primary
test_425,clear primary
test_426,clear cultivation agriculture primary
test_427,clear agriculture primary
test_428,clear primary
test_429,partly_cloudy primary
test_430,water clear primary
test_431,clear primary
test_432,clear primary
test_433,clear primary
test_434,clear agriculture primary
test_435,water clear primary
test_436,cloudy
test_437,clear primary
test_438,water clear cultivation primary
test_439,clear agriculture primary
test_440,partly_cloudy primary
test_441,clear primary
test_442,clear agriculture primary
test_443,agriculture partly_cloudy primary
test_444,agriculture partly_cloudy primary road
test_445,clear primary
test_446,partly_cloudy primary
test_447,clear primary
test_448,clear agriculture primary road
test_449,primary haze
test_450,partly_cloudy primary
test_451,partly_cloudy primary
test_452,primary haze
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy
test_457,partly_cloudy primary
test_458,clear agriculture habitation primary road
test_459,clear primary
test_460,clear primary
test_461,clear agriculture primary road
test_462,clear primary
test_463,clear primary
test_464,clear primary
test_465,clear agriculture primary road
test_466,clear cultivation primary
test_467,primary haze
test_468,clear primary
test_469,clear primary
test_470,clear primary
test_471,clear primary
test_472,partly_cloudy primary
test_473,water clear habitation primary road
test_474,partly_cloudy primary
test_475,clear primary
test_476,cloudy primary
test_477,clear agriculture habitation primary road
test_478,clear agriculture primary road
test_479,cloudy
test_480,clear cultivation agriculture primary
test_481,clear primary
test_482,clear primary
test_483,partly_cloudy primary
test_484,partly_cloudy primary
test_485,clear primary
test_486,clear primary
test_487,agriculture partly_cloudy primary road
test_488,clear primary
test_489,primary
test_490,clear agriculture primary
test_491,clear agriculture habitation primary road
test_492,clear primary
test_493,clear primary
test_494,clear primary
test_495,clear primary
test_496,partly_cloudy primary
test_497,clear cultivation agriculture habitation primary road
test_498,clear primary
test_499,clear primary
test_500,clear primary
test_501,clear primary
test_502,clear primary
test_503,clear agriculture primary
test_504,partly_cloudy primary
test_505,clear agriculture primary road
test_506,clear primary
test_507,primary haze
test_508,clear primary
test_509,clear primary
test_510,water clear primary
test_511,clear agriculture primary road
test_512,primary haze
